e = 1.2000, h = 0.3000, 8583 significant voxels
e = 1.1000, h = 1.8000, 4457 significant voxels
e = 1.1000, h = 1.4000, 4908 significant voxels
e = 1.2000, h = 0.0000, 10012 significant voxels
e = 1.2000, h = 0.5000, 8132 significant voxels
e = 1.2000, h = 0.9000, 6855 significant voxels
e = 1.1000, h = 1.1000, 5493 significant voxels
e = 1.2000, h = 0.2000, 8810 significant voxels
e = 1.2000, h = 0.1000, 9210 significant voxels
e = 1.2000, h = 0.7000, 7317 significant voxels
e = 1.2000, h = 0.8000, 7069 significant voxels
e = 1.2000, h = 0.6000, 7784 significant voxels
e = 1.2000, h = 0.4000, 8356 significant voxels
e = 1.2000, h = 1.3000, 6114 significant voxels
e = 1.2000, h = 1.1000, 6470 significant voxels
e = 1.2000, h = 1.5000, 5749 significant voxels
e = 1.2000, h = 1.2000, 6349 significant voxels
e = 1.2000, h = 1.4000, 5969 significant voxels
e = 1.2000, h = 1.6000, 5601 significant voxels
e = 1.2000, h = 1.7000, 5469 significant voxels
e = 1.2000, h = 1.9000, 5234 significant voxels
e = 1.2000, h = 1.8000, 5375 significant voxels
e = 1.2000, h = 1.0000, 6675 significant voxels
e = 1.3000, h = 0.1000, 13205 significant voxels
e = 1.3000, h = 0.2000, 12502 significant voxels
e = 1.3000, h = 0.0000, 13530 significant voxels
e = 1.3000, h = 0.3000, 11213 significant voxels
e = 1.9000, h = 1.9000, 14866 significant voxels
e = 1.3000, h = 0.4000, 9521 significant voxels
e = 1.3000, h = 0.5000, 9257 significant voxels
e = 1.3000, h = 1.4000, 6883 significant voxels
e = 1.3000, h = 0.7000, 8681 significant voxels
e = 1.3000, h = 0.9000, 8272 significant voxels
e = 1.3000, h = 1.6000, 6510 significant voxels
e = 1.3000, h = 0.8000, 8459 significant voxels
e = 1.3000, h = 1.3000, 7077 significant voxels
e = 1.3000, h = 1.0000, 8086 significant voxels
e = 1.3000, h = 1.1000, 7675 significant voxels
e = 1.3000, h = 0.6000, 8938 significant voxels
e = 1.3000, h = 1.8000, 6195 significant voxels
e = 1.4000, h = 0.0000, 15018 significant voxels
e = 1.3000, h = 1.5000, 6726 significant voxels
e = 1.3000, h = 1.9000, 6043 significant voxels
e = 1.3000, h = 1.7000, 6416 significant voxels
e = 1.4000, h = 0.1000, 14683 significant voxels
e = 1.4000, h = 0.4000, 13450 significant voxels
e = 1.4000, h = 0.2000, 14381 significant voxels
e = 1.4000, h = 0.6000, 12473 significant voxels
e = 1.4000, h = 0.3000, 13776 significant voxels
e = 1.4000, h = 0.7000, 11045 significant voxels
e = 1.4000, h = 0.5000, 13179 significant voxels
e = 1.3000, h = 1.2000, 7239 significant voxels
e = 1.4000, h = 0.9000, 9337 significant voxels
e = 1.4000, h = 0.8000, 9577 significant voxels
e = 1.4000, h = 1.0000, 9015 significant voxels
e = 1.4000, h = 1.2000, 8611 significant voxels
e = 1.4000, h = 1.5000, 8079 significant voxels
e = 1.4000, h = 1.3000, 8412 significant voxels
e = 1.9000, h = 1.8000, 15082 significant voxels
e = 1.5000, h = 0.3000, 15110 significant voxels
e = 1.4000, h = 1.8000, 7100 significant voxels
e = 1.4000, h = 1.9000, 6936 significant voxels
e = 1.5000, h = 0.1000, 15789 significant voxels
e = 1.5000, h = 0.0000, 16182 significant voxels
e = 1.4000, h = 1.1000, 8784 significant voxels
e = 1.4000, h = 1.6000, 7625 significant voxels
e = 1.4000, h = 1.4000, 8242 significant voxels
e = 1.5000, h = 0.2000, 15377 significant voxels
e = 1.5000, h = 0.7000, 13721 significant voxels
e = 1.4000, h = 1.7000, 7249 significant voxels
e = 1.5000, h = 0.8000, 13444 significant voxels
e = 1.5000, h = 1.4000, 9248 significant voxels
e = 1.5000, h = 0.5000, 14544 significant voxels
e = 1.5000, h = 1.1000, 11144 significant voxels
e = 1.5000, h = 1.0000, 12556 significant voxels
e = 1.5000, h = 0.9000, 13195 significant voxels
e = 1.5000, h = 1.6000, 8747 significant voxels
e = 1.5000, h = 0.6000, 14321 significant voxels
e = 1.5000, h = 1.3000, 9472 significant voxels
e = 1.5000, h = 1.5000, 8955 significant voxels
e = 1.5000, h = 0.4000, 14796 significant voxels
e = 1.5000, h = 1.2000, 9649 significant voxels
e = 1.6000, h = 0.0000, 17597 significant voxels
e = 1.5000, h = 1.7000, 8579 significant voxels
e = 1.5000, h = 1.8000, 8400 significant voxels
e = 1.6000, h = 0.1000, 17193 significant voxels
e = 1.5000, h = 1.9000, 8235 significant voxels
