e = 0.2000, h = 1.3000, 1 significant voxels
e = 0.2000, h = 1.1000, 1 significant voxels
e = 0.2000, h = 1.2000, 1 significant voxels
e = 0.2000, h = 1.7000, 1 significant voxels
e = 0.2000, h = 1.9000, 1 significant voxels
e = 0.2000, h = 1.5000, 1 significant voxels
e = 0.2000, h = 1.6000, 1 significant voxels
e = 0.2000, h = 1.8000, 1 significant voxels
e = 0.2000, h = 1.4000, 1 significant voxels
e = 0.3000, h = 1.6000, 1 significant voxels
e = 0.3000, h = 1.7000, 1 significant voxels
e = 0.3000, h = 1.5000, 1 significant voxels
e = 0.3000, h = 1.8000, 1 significant voxels
e = 0.3000, h = 1.4000, 1 significant voxels
e = 0.3000, h = 1.9000, 1 significant voxels
e = 0.4000, h = 1.8000, 1 significant voxels
e = 0.4000, h = 1.9000, 1 significant voxels
