e = 0.0000, h = 0.0000, 1 significant voxels
e = 0.2000, h = 0.4000, 5 significant voxels
e = 0.2000, h = 0.3000, 5 significant voxels
e = 0.2000, h = 0.5000, 4 significant voxels
e = 0.2000, h = 0.8000, 3 significant voxels
e = 0.2000, h = 0.7000, 3 significant voxels
e = 0.2000, h = 0.6000, 4 significant voxels
e = 0.2000, h = 0.9000, 3 significant voxels
e = 0.2000, h = 1.3000, 3 significant voxels
e = 0.2000, h = 1.6000, 3 significant voxels
e = 0.2000, h = 1.1000, 3 significant voxels
e = 0.2000, h = 1.2000, 3 significant voxels
e = 0.2000, h = 1.0000, 3 significant voxels
e = 0.2000, h = 1.5000, 3 significant voxels
e = 0.3000, h = 0.2000, 7 significant voxels
e = 0.2000, h = 1.7000, 3 significant voxels
e = 0.3000, h = 0.0000, 5 significant voxels
e = 0.3000, h = 0.8000, 10 significant voxels
e = 0.3000, h = 0.5000, 10 significant voxels
e = 0.3000, h = 0.3000, 9 significant voxels
e = 0.3000, h = 0.4000, 10 significant voxels
e = 0.3000, h = 0.1000, 6 significant voxels
e = 0.2000, h = 1.9000, 2 significant voxels
e = 0.2000, h = 1.8000, 2 significant voxels
e = 0.3000, h = 0.6000, 10 significant voxels
e = 0.3000, h = 0.7000, 10 significant voxels
e = 0.2000, h = 1.4000, 3 significant voxels
e = 0.3000, h = 1.0000, 10 significant voxels
e = 0.3000, h = 1.4000, 8 significant voxels
e = 0.3000, h = 0.9000, 10 significant voxels
e = 0.3000, h = 1.5000, 7 significant voxels
e = 0.3000, h = 1.2000, 9 significant voxels
e = 0.3000, h = 1.3000, 9 significant voxels
e = 0.3000, h = 1.1000, 9 significant voxels
e = 0.3000, h = 1.8000, 6 significant voxels
e = 0.3000, h = 1.6000, 6 significant voxels
e = 0.3000, h = 1.7000, 6 significant voxels
e = 0.3000, h = 1.9000, 5 significant voxels
e = 0.4000, h = 0.5000, 10 significant voxels
e = 0.4000, h = 0.2000, 3 significant voxels
e = 0.4000, h = 0.1000, 2 significant voxels
e = 0.4000, h = 0.7000, 11 significant voxels
e = 0.4000, h = 0.6000, 10 significant voxels
e = 0.4000, h = 0.3000, 5 significant voxels
e = 0.4000, h = 0.4000, 9 significant voxels
e = 0.4000, h = 0.9000, 11 significant voxels
e = 0.4000, h = 1.4000, 11 significant voxels
e = 0.4000, h = 1.3000, 11 significant voxels
e = 0.4000, h = 1.7000, 11 significant voxels
e = 0.4000, h = 1.0000, 11 significant voxels
e = 0.4000, h = 1.1000, 11 significant voxels
e = 0.4000, h = 0.8000, 11 significant voxels
e = 0.4000, h = 1.2000, 11 significant voxels
e = 0.5000, h = 0.6000, 2 significant voxels
e = 0.4000, h = 1.5000, 11 significant voxels
e = 0.4000, h = 1.8000, 11 significant voxels
e = 0.4000, h = 1.9000, 11 significant voxels
e = 0.4000, h = 1.6000, 11 significant voxels
e = 0.5000, h = 0.9000, 11 significant voxels
e = 0.5000, h = 0.7000, 5 significant voxels
e = 0.5000, h = 0.8000, 10 significant voxels
e = 0.5000, h = 1.0000, 11 significant voxels
e = 0.5000, h = 1.2000, 13 significant voxels
e = 0.5000, h = 1.1000, 12 significant voxels
e = 0.5000, h = 1.3000, 14 significant voxels
e = 0.5000, h = 1.5000, 15 significant voxels
e = 0.5000, h = 1.6000, 15 significant voxels
e = 0.5000, h = 1.7000, 15 significant voxels
e = 0.5000, h = 1.4000, 14 significant voxels
e = 0.5000, h = 1.8000, 15 significant voxels
e = 0.5000, h = 1.9000, 15 significant voxels
e = 0.6000, h = 1.2000, 10 significant voxels
e = 0.6000, h = 1.0000, 2 significant voxels
e = 0.6000, h = 1.3000, 11 significant voxels
e = 0.6000, h = 1.4000, 12 significant voxels
e = 0.6000, h = 1.5000, 14 significant voxels
e = 0.6000, h = 1.1000, 5 significant voxels
e = 0.6000, h = 1.6000, 15 significant voxels
e = 0.6000, h = 1.8000, 16 significant voxels
e = 0.6000, h = 1.7000, 16 significant voxels
e = 0.6000, h = 1.9000, 17 significant voxels
e = 0.7000, h = 1.5000, 2 significant voxels
e = 0.7000, h = 1.9000, 15 significant voxels
e = 0.7000, h = 1.7000, 11 significant voxels
e = 0.7000, h = 1.6000, 8 significant voxels
e = 0.7000, h = 1.8000, 12 significant voxels
